,affiliate_id_18,function,title,role,management_level,role_level
88933,a0dRi000005NXmpIAG,Technology / Systems,IT Director,,Manages function(s) -  4,
15642,a0d3300000EXV37AAH,,,,,
5229,a0d3300000EXEcUAAX,Technology / Systems,,Senior Technical Support Analyst,,
19016,a0d3300000EXZD0AAP,,,,,
56207,a0d40000001e6CMAAY,General Management,,Founding Managing Director,,
3812,a0d3300000EWyEWAA1,,,,,
107319,a0df300000HOi6aAAD,,,attorney,,
45440,a0d3300000GaDkgAAF,Program and Project Management,Foster America Fellow,,Manages self/projects,Mid-level
22006,a0d3300000Eipc5AAB,,,,,
59824,a0d40000003NnMaAAK,Data / Analytics / Research,,Data Analyst,,
63962,a0d40000007CNkWAAW,,,Innovation Design Manager,,
97413,a0df300000H1LIsAAN,,,"Program Manager, Strategic Initiatives",,
3017,a0d3300000EWNx1AAH,Policy / Advocacy,Legislative Aide,,Manages self/projects - 1,Junior-level (0-3 years)
86120,a0dRi000002ZqH7IAK,Legal Services,Legal Assistant,,Manages self/projects - 1,
36519,a0d3300000G2pw9AAB,Academics (Teaching & Learning),,Elementary Teacher/ 2014 Corps Member,Manages self/projects - 1,Junior-level (0-3 years)
77301,a0d4y00000ISXtdAAH,Academics (Teaching & Learning),Staff Member,,Manages self/projects - 1,
37246,a0d3300000G3rvfAAB,Academics (Teaching & Learning),Enseignante Contractuelle/Lecteur d'anglais,,Manages self/projects - 1,Mid-level (5-7 years)
37117,a0d3300000G3qKuAAJ,Academics (Teaching & Learning),Substitute Teacher,,Manages self/projects - 1,Junior to Mid-level (3-5 years)
7644,a0d3300000EXJVWAA5,,,,,
42888,a0d3300000GTNG6AAP,"Sales, Business Development, and Partnerships",Relationship Manager,,Manages self/projects,Mid-level
12902,a0d3300000EXRpKAAX,,,,,
41571,a0d3300000GSujvAAD,Data / Analytics / Research,Sales Analyst,,Manages others,Senior-level
47572,a0d3300000GauvaAAB,Academics (Teaching and Learning),Co-Teacher,,Manages function(s),Mid-level
28651,a0d3300000FYkahAAD,Legal Services,,Investigative Caseworker,Manages others - 2,Mid to Senior-level (7-10 years)
37451,a0d3300000G4CGWAA3,Academics (Teaching & Learning),Teaching Assistant,,Manages self/projects - 1,Junior-level (0-3 years)
100929,a0df300000H2o0aAAB,General Management,Chief of Staff for the Secretary General,,Manages others - 2,
25804,a0d3300000FYST7AAP,Technology / Systems,,Systems Project Manager and Business Analyst,Manages self/projects - 1,Mid-level (5-7 years)
46716,a0d3300000GapvTAAR,Academics (Teaching and Learning),Substitute Teacher,,,
37224,a0d3300000G3rqBAAR,Consulting,,Internal Planning Consultant,,
68446,a0d40000009I3LGAA0,General Management,,"Director, Alumni Summits",,
91965,a0df300000EqZgAAAV,,,Project Manager,,
87385,a0dRi000002pQ49IAE,Academics (Teaching & Learning),Graduate Lecturer (Promoted from Graduate Teaching Assistant 08/2023),,Manages others - 2,
88975,a0dRi000005SM4LIAW,Data / Analytics / Research,Economic Development & Partnerships Intern,,Manages self/projects - 1,
7502,a0d3300000EXJKHAA5,,,,,
90202,a0df300000EqBRVAA3,Academics (Teaching & Learning),8th Grade Math Teacher/11th Grade Math Teacher,,Manages others - 2,
26905,a0d3300000FYSqqAAH,Program and Project Management,,Director,Manages others - 2,Mid to Senior-level (7-10 years)
75198,a0d4y00000HivNbAAJ,Academics (Teaching & Learning),Special Education Teacher,,Manages a group - 5,
82903,a0dRi000001vpA5IAI,Academics (Teaching & Learning),Dean of Discipline,,Manages function(s) -  4,
47937,a0d3300000GbLshAAF,Academics (Teaching & Learning),5th Grade Mainstream Teacher- All Subjects,,Manages self/projects - 1,Mid-level
46968,a0d3300000GarpCAAR,Program and Project Management,Program Coordinator,,Manages others,Mid-level
108961,a0df300000Hg7bYAAR,School Leadership / Administration,Assistant Head Master of Charter Day School,,Manages managers - 3,
16840,a0d3300000EXWe2AAH,Academics (Teaching & Learning),,5th Grade Humanities Teacher,,
35916,a0d3300000Fo5ynAAB,Marketing / Communications / External Relations,,School and Youth Campaign Assistant,Manages self/projects - 1,Junior-level (0-3 years)
63486,a0d40000007BkRxAAK,Data / Analytics / Research,Director of Research,Director of Research,,
33565,a0d3300000FfR8bAAF,Academics (Teaching & Learning),,Model Classroom Teacher/Classroom Teacher,Manages self/projects - 1,Mid to Senior-level (7-10 years)
7569,a0d3300000EXJPnAAP,,,,,
55468,a0d40000001d7bjAAA,General Management,,Director of Education,,
101387,a0df300000H2uTxAAJ,Academics (Teaching & Learning),Early Intervention Literacy Tutor,,Manages self/projects - 1,
82266,a0dRi000001lqtpIAA,Academics (Teaching & Learning),Teacher,,Manages self/projects - 1,
62368,a0d40000006Is5FAAS,,,,,
99303,a0df300000H2ERyAAN,Academics (Teaching & Learning),Special Education Coordinator,,Manages others - 2,
73264,a0d4y00000Fxp66AAB,Academics (Teaching & Learning),Capital Teaching Resident,,Manages self/projects - 1,
43809,a0d3300000GUFwYAAX,Academics (Teaching and Learning),Math Fellow,,Manages self/projects,Junior-level
49298,a0d3300000GcrI3AAJ,Technology / Systems,"Director, Strategy",,Manages self/projects,Junior to Mid-level
37172,a0d3300000G3qv1AAB,Data / Analytics / Research,Research Intern,,Manages self/projects - 1,Junior-level (0-3 years)
93495,a0df300000GMzoRAAT,Data / Analytics / Research,Graduate Assistnat,,Manages self/projects - 1,
67263,a0d40000008tsV8AAI,Data / Analytics / Research,,Policy Analyst,Manages self/projects - 1,
90516,a0df300000EqDmVAAV,School Leadership / Administration,Student Success Counselor,,Manages self/projects - 1,
26054,a0d3300000FYSYdAAP,Marketing / Communications / External Relations,,Fundraising Coordinator,Manages self/projects - 1,Junior-level (0-3 years)
4332,a0d3300000EWyxqAAD,,,,,
76630,a0d4y00000IB8kuAAD,School Leadership / Administration,Campus Summer School Principal,,Manages organization - 6,
42680,a0d3300000GTM1lAAH,Consulting,Project Lead,,Manages others,Mid-level
51308,a0d40000000xHaDAAU,,,,,
17513,a0d3300000EXXQ0AAP,Human Capital / Human Resources,,Recruitment Manager,,
